C00000,040577,0A9612,1414B0,087649,003AB3,029DF4,FF8D9F,800000
C00000,03CFF7,0ABDF9,139B07,08F9C7,001A62,015EB7,FF91F5,800000
C00000,03CB67,0B8B65,1254D5,091DFB,006FEB,0203C7,FF8C2A,800000
C00000,0461FC,0C54E5,127F64,080A8A,00B5CF,02155E,FF83E5,800000
C00000,04BAA5,0BD458,13A3E7,089DFD,0088AC,01DE00,FF895A,800000
C00000,047259,0B8208,130D72,08A3A2,0061BD,01D146,FF87B8,800000
C00000,046515,0B6ED2,14ED31,089E95,0059CD,01BEC8,FF8820,800000
C00000,04899C,0BC7A4,153AA4,08A217,008DAE,01F192,FF8739,800000
C00000,045E64,0BCA18,13006A,08C6B4,0080BD,0212D0,FF85EC,800000
C00000,045D6D,0A6B19,1415F0,0915A3,00AEB0,01C0B3,FF8426,800000
C00000,04041D,0AF7A2,1497B9,099D37,00E5A9,01D9FB,FF842D,800000
C00000,0434BB,0AC29D,12F842,08C557,00B8BE,0208B8,FF7D3A,800000
C00000,046891,0AE336,142C75,09508C,00C7F4,01EAD1,FF833B,800000
C00000,0471FE,0B4914,13E30F,0A06AF,009D80,0155BC,FF8551,800000
C00000,04A868,0B71A8,14619B,094222,005FBC,00FFE3,FF88FC,800000
C00000,0465EA,0AD565,1345E1,086CA3,004C5C,0164C3,FF8615,800000
C00000,045C2B,0A0167,139B30,08E90C,008594,016A35,FF87CE,800000
C00000,044F45,0ACCF9,137BBE,0C3532,008790,0195D5,FF8930,800000
C00000,043D26,0AC07B,13D450,0BDAB4,00D361,025EB4,FF8508,800000
C00000,047D2F,0B92FC,1358BD,09F113,008033,020772,FF83A1,800000
C00000,049DCC,0BE1DD,12D747,0973AB,003A62,022E08,FF83FE,800000
C00000,046266,0C4908,13BEE3,0AE9B6,0048C7,028251,FF81D1,800000
C00000,042958,0BED00,127599,0B6471,003400,01D878,FF7A61,800000
C00000,0447D0,0B2EAC,135CD5,0A8BCF,005B72,018E65,FF7A7D,800000
C00000,04EE3F,0C95CD,1466B0,0B82D2,008550,018A0F,FF7D38,800000
C00000,04B3B6,0DC9C4,13A759,0B0D37,00ACE8,014B84,FF7F22,800000
C00000,04D957,0CD9C3,15CDCE,0B937B,003088,012DD9,FF7643,800000
C00000,04E10A,0CA61C,148334,0C1CBD,00795A,0195DD,FF7CB6,800000
C00000,046E1E,0CB3B6,12FE66,0ADFE4,00A407,0201A1,FF7F67,800000
C00000,04B063,0CE2B3,138D0D,0ADCB3,007887,025FDC,FF7E0B,800000
C00000,04A009,0D9BBC,13C4F2,0A068C,00451B,030BB9,FF83F1,800000
C00000,049CCE,0D1B0E,132E13,0BB41B,003F33,023F92,FF7C6E,800000
C00000,048B91,0D059E,145BB7,0D996F,0039F6,0237EB,FF79AA,800000
C00000,04D9E2,0DBF6D,15A3DB,0DC588,00925A,019DC4,FF8033,800000
C00000,04D2E3,0E8713,1530B7,0DC989,00DC26,01CCB9,FF804A,800000
C00000,048755,0E9325,15219B,0CE102,00D9B1,024C9B,FF825C,800000
C00000,0473FB,0D81F4,14D993,0DE6CB,00F906,027343,FF7D8D,800000
C00000,04AEC0,0D25A6,16277C,0D7DF1,008E6A,024328,FF7D8C,800000
C00000,04D2E5,0DA8FB,171EC0,0E081C,005E00,01C301,FF7C78,800000
C00000,04FD84,0EC714,1593B9,0CDB3D,006DCA,01E876,FF7EFF,800000
C00000,04FBB6,0D75D0,154DE8,0D78B2,009981,01F2F3,FF7C3E,800000
C00000,04BB12,0D9826,14C551,0C7D97,0087B3,02561D,FF7949,800000
C00000,04E1F5,0E4D39,14A0DF,0CEA59,00B2C9,01DFF7,FF72C1,800000
C00000,051518,0E5252,141D89,0D8774,007697,0184BB,FF7DD0,800000
